"","shape1F","shape2F","shape1E","shape2E","p0","p1","pF","pE","cF","cE","NEnrolledPts","EffStoppingBound","FutStoppingBound"
"1",0.3,0.7,0.001,0.001,0,0,0,0,0,0,1,0,0
"2",0.3,0.7,0.001,0.001,0,0,0,0,0,0,1,0,0
"3",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,1,-1,1
"4",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,2,-1,1
"5",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,3,-1,2
"6",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,4,-1,2
"7",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,5,0,2
"8",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,6,0,2
"9",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,7,0,2
"10",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,8,0,2
"11",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,9,0,3
"12",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,10,0,3
"13",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,11,1,3
"14",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,12,1,3
"15",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,13,1,3
"16",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,14,1,3
"17",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,15,2,3
"18",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,16,2,3
"19",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,17,2,3
"20",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,18,2,4
"21",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,19,3,4
"22",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,20,3,4
"23",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,21,3,4
"24",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,22,3,4
"25",0.3,0.7,0.001,0.001,0.05,0.4,0.4,0.05,0.01,0.95,23,4,4
